DISBURSEMENT : ALLOCATION Vs ACTUALS AND NO. OF BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,
 ,,,(RS. IN LAKH),,,,,,,,,,,,,,,,,,
Sno.,State,2022-2023 (as on 31.03.2023),,,2023-2024 (as on 31.03.2024),,,2024-2025 (as on 31.03.2025),,,2025-2026 (as on 31.03.2026),,,2026-2027(as on 31.07.2026),,,,,,,
,,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,,,,,
22,Odisha,719.82,0,876.15,95.4,957.86,0,1118.78,46.51,1573.4,83.18,3672.6099999999997,141.91,,,,,,,,
23,Puducherry,19.37,0,23.55,18,26.47,0,30.56,0,42.97,45,99.95,18,,,,,,,,
24,Punjab,830.37,444.68,1010.77,904.28,1182.77,3.56,1378.97,4.32,1939.3,2131.08,4402.88,1356.84,,,,,,,,
25,Rajasthan,1146.72,1248.21,1395.74,1465.35,1629.93,1814.72,1902.11,1346.81,2675.03,2390.75,6074.5,5875.09,,,,,,,,
26,Sikkim,4.37,102,5.3,54.7,5.02,96.85,5.88,110.4,8.27,87.9,20.57,363.95,,,,,,,,
27,Tamil Nadu,1400.87,0,1705.06,167.76,1926.29,10.57,2247.13,11.58,3160.26,7170.53,7279.349999999999,189.91,,,,,,,,
28,Telangana,0,0,0,0,740.88,0,845.52,1893.4,1189.1,3584.43,1586.4,1893.4,,,,,,,,
29,Tripura,89.07,278.53,108.4,860.69,116.75,1022.57,136.17,2226.75,191.5,3366.06,450.39,4388.54,,,,,,,,
30,Uttar Pradesh,4154.13,0,5056.3,1800,5516.91,1581.75,6436.71,7884.47,9052.27,221.67,21164.05,11266.220000000001,,,,,,,,
31,Uttarakhand,178.47,126.91,217.2,408.1,251.37,50.66,294.54,712.35,414.23,5.28,941.5799999999999,1298.02,,,,,,,,
32,West Bengal,2180.86,3212.1,2654.52,3215.46,2862.97,2240.86,3340.44,3357.74,4697.84,4518.04,11038.79,12026.16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total,19800.000000000007,20155.259999999995,24100,24514.419999999995,26000,27026.620000000003,31500,37894.47,44300,47897.950000000004,101400,109590.76999999999,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,
DISBURSEMENT : NOTIONAL ALLOCATION Vs ACTUALS FOR 11th FIVE YEAR PLAN i.e. 2007-08 TO 2011-12 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Srno.,State, 2007-2008,,2008-2009,,2009-2010,,2010-2011,,2011-2012,,Total,,,,,,,,,
,,,,,,,, ,,(as on 31.03.2012),,(2007-08 to 2011-12),,,,,,,,,
,,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,Andhra Pradesh,1129.27,880.83,1068.2,0,1105.03,0,1142.22,0,1238.03,0,5682.75,880.83,,,,,,,,
2,Arunachal Pradesh,0.76,0,0.72,0,0.76,0,0.77,0,0.83,0,3.8400000000000003,0,,,,,,,,
3,Assam,226.56,0,214.31,0,221.69,0,229.08,0,248.29,0,1139.93,0,,,,,,,,
4,Bihar,1194.17,0,1129.59,0,1168.54,167.64,1207.54,32,1308.82,0,6008.66,199.64,,,,,,,,
5,Chandigarh,14.42,15.76,13.64,20.22,14.11,13.2,15.13,36.11,16.41,36.83,73.71000000000001,122.11999999999999,,,,,,,,
6,Chhattisgarh,221.35,505.05,209.39,354.65,216.6,687,223.23,635.7,241.95,1151.16,1112.52,3333.5600000000004,,,,,,,,
7,"Dadra N.Haweli,D&Diu",0.81,0,0.77,0,0.8,0,1.56,0,1.58,0,5.52,0,,,,,,,,
8,Delhi,214.44,302.5,202.85,337.5,209.83,145.75,217.17,401.2,235.37,170,1079.6599999999999,1356.95,,,,,,,,
9,Goa,2.18,3.2,2.06,0,2.13,7.83,1.46,5.36,1.64,11.75,9.47,28.14,,,,,,,,
10,Gujarat,328.79,1501.42,311.01,1558.65,321.74,1148.63,332.6,2671.65,360.5,2391.56,1654.6399999999999,9271.91,,,,,,,,
11,Haryana,374.41,510.47,354.16,291.93,366.37,601.3,378.16,99.64,409.9,213.95,1883,1717.2900000000002,,,,,,,,
12,Himachal Pradesh,137.47,287.87,130.04,336.8,134.53,133.26,139.68,218.63,151.4,347.51,693.12,1324.0700000000002,,,,,,,,
13,Jammu & Kashmir,70.48,226.25,66.67,376.8,68.97,279.14,71.33,373.2,77.31,731.31,354.76,1986.6999999999998,,,,,,,,
14,Jharkhand,291.88,500.7,276.09,357.98,285.61,224.8,294.62,288.85,319.33,0,1467.53,1372.33,,,,,,,,
15,Karnataka,783.74,1197.95,741.36,1671.91,766.93,2397.1,792.85,2741.11,859.35,4816.16,3944.2299999999996,12824.23,,,,,,,,
16,Kerala,285.9,388.73,270.43,291.3,279.77,422.62,288.55,453.19,312.73,601.19,1437.3799999999999,2157.03,,,,,,,,
17,Madhya Pradesh,837.86,1813.8,792.54,2534.65,819.87,0,847.54,0,918.62,0,4216.43,4348.45,,,,,,,,
18,Maharashtra,904.34,2250.07,855.43,3576.98,884.93,4567.17,914.38,5213.48,991.06,1147.86,4550.139999999999,16755.56,,,,,,,,
19,Manipur,5.52,0,5.23,0,5.4,0,5.58,0,6.06,0,27.789999999999996,0,,,,,,,,
20,Meghalaya,1.18,0,1.31,0,1.36,0,1.4,0,1.51,0,6.76,0,,,,,,,,
21,Mizoram,0.23,0,0.02,0,0.03,0,0.04,0,0.05,0,0.37,0,,,,,,,,
22,Odisha,556.61,0,526.51,299.17,544.67,19.8,563.49,0,610.74,0,2802.0199999999995,318.97,,,,,,,,
23,Puducherry,14.43,318.3,13.66,0,14.13,189.68,15.03,0,16.41,0,73.66,507.98,,,,,,,,
24,Punjab,643.25,357.5,608.46,473.87,629.43,332.9,650.07,326.38,704.6,400.27,3235.81,1890.92,,,,,,,,
25,Rajasthan,887.2,484.03,839.23,884.82,868.17,660.58,897.67,929.38,972.96,2300.42,4465.23,5259.23,,,,,,,,
26,Sikkim,3.37,20.32,3.18,82.73,3.29,37.89,3.41,119.16,3.69,210.26,16.94,470.36,,,,,,,,
27,Tamil Nadu,1085.17,1602.23,1026.48,0,1061.87,175,1096.67,559.72,1188.63,0,5458.820000000001,2336.95,,,,,,,,
28,Tripura,68.96,70.1,65.23,208.89,67.47,500.54,69.72,329.31,75.57,629.16,346.95,1738,,,,,,,,
29,Uttar Pradesh,3216.68,0,3042.71,0,3147.63,0,3252.07,0,3524.81,0,16183.9,0,,,,,,,,
30,Uttarakhand,138.85,0,131.33,0,135.87,0,139.68,0,151.36,108.45,697.09,108.45,,,,,,,,
31,West Bengal,1688.72,1079.94,1597.39,874.56,1652.47,2407.35,1707.3,2575.3,1850.49,3009.53,8496.37,9946.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total,15329,14317.02,14499.999999999998,14533.41,15000,15119.18,15499.999999999998,18009.369999999995,16800,18277.370000000003,77128.99999999999,80256.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,
